"특성별(1)",특성별(2),2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020
"특성별(1)",특성별(2),이벤트를 가장한 홈페이지 접속,메일이나 게시판에 연결된 웹사이트 접속,공공·금융기관을 사칭한 전화를 통한 피싱,SNS를 통한 피싱,인스턴트메신저(카카오톡 라인 페이스북 메시지 등) 채팅 도중 프로그램 또는 앱 설치,문자 메시지 내 인터넷 주소(URL) 클릭,금융기관 홈페이지를 가장한 웹사이트 접속,잘 모르겠음,이벤트를 가장한 홈페이지 접속,메일이나 게시판에 연결된 웹사이트 접속,공공·금융기관을 사칭한 전화를 통한 피싱,SNS를 통한 피싱,인스턴트메신저(카카오톡 라인 페이스북 메시지 등) 채팅 도중 프로그램 또는 앱 설치,문자 메시지 내 인터넷 주소(URL) 클릭,금융기관 홈페이지를 가장한 웹사이트 접속,잘 모르겠음,이벤트를 가장한 홈페이지 접속,메일이나 게시판에 연결된 웹사이트 접속,공공·금융기관을 사칭한 전화를 통한 피싱,SNS를 통한 피싱,인스턴트메신저(카카오톡 라인 페이스북 메시지 등) 채팅 도중 프로그램 또는 앱 설치,문자 메시지 내 인터넷 주소(URL) 클릭,금융기관 홈페이지를 가장한 웹사이트 접속,잘 모르겠음,이벤트를 가장한 홈페이지 접속,메일이나 게시판에 연결된 웹사이트 접속,공공·금융기관을 사칭한 전화를 통한 피싱,SNS를 통한 피싱,인스턴트메신저(카카오톡 라인 페이스북 메시지 등) 채팅 도중 프로그램 또는 앱 설치,문자 메시지 내 인터넷 주소(URL) 클릭,금융기관 홈페이지를 가장한 웹사이트 접속,잘 모르겠음,이벤트를 가장한 홈페이지 접속,메일이나 게시판에 연결된 웹사이트 접속,공공·금융기관을 사칭한 전화를 통한 피싱,SNS를 통한 피싱,인스턴트메신저(카카오톡 라인 페이스북 메시지 등) 채팅 도중 프로그램 또는 앱 설치,인스턴트메신저 채팅 또는 문자메시지 내 인터넷주소(URL) 클릭,잘 모르겠음,이벤트를 가장한 홈페이지 접속,메일이나 게시판에 연결된 웹사이트 접속,공공·금융기관을 사칭한 전화를 통한 피싱,SNS를 통한 피싱,인스턴트메신저(카카오톡 라인 페이스북 메시지 등) 채팅 도중 프로그램 또는 앱 설치,금융기관 홈페이지를 가장한 웹사이트 접속,인스턴트메신저 채팅 또는 문자메시지 내 인터넷주소(URL) 클릭
"연령별",60대,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,20.8,35.7,14.9,64.3,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,21.0,0.0,0.0
"학력별",초/중학생,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"학력별",고등학생,79.6,0.0,0.0,0.0,45.3,0.0,0.0,0.0,23.7,100.0,0.0,76.3,0.0,76.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,-,-,-,-,-,-,-,-,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
"학력별",대학(원)생,43.2,0.0,0.0,0.0,43.2,13.6,43.2,0.0,28.5,13.6,31.9,18.4,30.6,24.2,29.3,8.1,34.3,0.0,65.7,65.7,65.7,0.0,0.0,0.0,81.1,37.8,18.9,0.0,18.9,0.0,0.0,0.0,30.8,0.0,0.0,69.2,48.0,0.0,0.0,9.3,11.7,18.4,0.0,37.7,0.0,22.8
"학력별",고졸 이하,30.1,33.6,0.0,9.1,56.8,10.8,42.6,0.0,36.5,21.0,8.2,65.3,15.4,40.2,10.1,0.0,0.0,40.7,48.5,19.1,43.2,27.5,0.0,0.0,53.2,29.0,14.3,21.8,9.3,10.8,8.3,0.0,26.2,27.7,52.2,7.8,13.9,0.0,0.0,41.1,0.0,58.9,0.0,10.6,0.0,0.0
"학력별",대졸 이상,23.3,47.7,1.9,15.0,43.8,13.4,46.6,3.5,18.4,46.0,12.7,21.0,21.5,8.3,34.6,5.2,36.5,17.6,8.5,10.1,0.0,27.2,15.8,20.4,22.3,32.7,26.4,24.0,21.7,19.3,7.5,3.3,22.5,5.4,10.3,31.3,14.3,2.5,17.4,21.9,27.8,22.1,20.8,26.2,3.4,6.8
"직업별",전문/관리직,38.6,38.6,0.0,0.0,0.0,61.4,0.0,0.0,40.0,40.0,16.7,60.0,0.0,43.3,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.7,45.9,0.0,100.0,0.0,19.7,0.0,0.0,76.9,0.0,23.1,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
"직업별",사무직,39.3,44.8,0.0,15.3,53.6,8.1,48.6,3.3,19.5,48.3,15.1,19.9,23.6,0.0,34.0,0.0,36.9,34.1,15.4,6.7,8.7,16.4,0.0,22.6,15.5,19.5,24.5,15.5,15.5,24.9,15.5,0.0,19.5,8.7,6.4,44.3,17.0,4.0,0.0,18.7,23.0,18.2,40.1,0.0,0.0,0.0
"직업별",서비스직,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,49.9,0.0,26.2,0.0,0.0,0.0,23.9,0.0,100.0,55.1,0.0,44.9,0.0,0.0
"직업별",판매직,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,0.0,100.0,100.0,0.0,0.0,30.2,0.0,55.1,0.0,34.7,0.0,0.0
